Item,Last-to-last year's actual,Last year BE,Last year RE,% change (last year BE v/s RE),This year BE,% change (last year RE v/s this year BE),Year
Total Expenditure,2867690000000.0,3672810000000.0,3732350000000.0,1.6%,4047940000000.0,8.5%,2019
A. Receipts (except borrowings),2454320000000.0,2882340000000.0,2887460000000.0,0.2%,3169300000000.0,9.8%,2019
B. Borrowings,496700000000.0,741050000000.0,340630000000.0,-54.0%,771960000000.0,126.6%,2019
Total Receipts (A+B),2951010000000.0,3623380000000.0,3228080000000.0,-10.9%,3941260000000.0,22.1%,2019
Revenue Deficit (-)/ Surplus (+),20820000000.0,-153750000000.0,-149600000000.0,-2.7%,-202930000000.0,35.6%,2019
Fiscal Deficit (-)/ Surplus (+),-239610000000.0,-505860000000.0,-560530000000.0,10.8%,-616700000000.0,10.0%,2019
Primary Deficit (-)/ Surplus (+),90570000000.0,-162010000000.0,-221240000000.0,36.6%,-264630000000.0,19.6%,2019
Total Expenditure,3322600000000.0,4047940000000.0,4169210000000.0,3.0%,4340850000000.0,4.1%,2020
A. Receipts (except borrowings),2821290000000.0,3169300000000.0,3121700000000.0,-1.5%,3497660000000.0,12.0%,2020
B. Borrowings,260250000000.0,771960000000.0,749320000000.0,-2.9%,811060000000.0,8.2%,2020
Total Receipts (A+B),3081540000000.0,3941260000000.0,3871020000000.0,-1.8%,4308720000000.0,11.3%,2020
Revenue Deficit,-119750000000.0,202930000000.0,314430000000.0,54.9%,95110000000.0,-69.8%,2020
Fiscal Deficit,230150000000.0,616700000000.0,786170000000.0,27.5%,546180000000.0,-30.5%,2020
Primary Deficit,-110060000000.0,264630000000.0,444440000000.0,67.9%,190880000000.0,-57.1%,2020
Total Expenditure,3786670000000.0,4340850000000.0,4373910000000.0,1%,4840910000000.0,13%,2021
A.  Receipts (except borrowings),2848040000000.0,3497660000000.0,2918070000000.0,-17%,3713190000000.0,14%,2021
B.  Borrowings,571530000000.0,811060000000.0,1475730000000.0,82%,1225660000000.0,46%,2021
Total Receipts (A+B),3419580000000.0,4308720000000.0,4393800000000.0,2%,4938850000000.0,20%,2021
Revenue Deficit,171160000000.0,95110000000.0,461780000000.0,386%,102260000000.0,-23%,2021
Fiscal Deficit,692360000000.0,546180000000.0,876970000000.0,61%,666410000000.0,-2%,2021
Primary Deficit,356750000000.0,190880000000.0,504950000000.0,165%,236440000000.0,-19%,2021
Total Expenditure,4002250000000.0,4840910000000.0,4966380000000.0,3%,5484080000000.0,10%,2022
(-) Repayment of debt,575870000000.0,461310000000.0,430910000000.0,-7%,530030000000.0,23%,2022
Net Expenditure (E),3426380000000.0,4379600000000.0,4535470000000.0,4%,4954050000000.0,9%,2022
Total Receipts,3895960000000.0,4938850000000.0,4688100000000.0,-5%,5337450000000.0,14%,2022
(-) Borrowings,1185160000000.0,1225660000000.0,1043450000000.0,-15%,1279380000000.0,23%,2022
Net Receipts (R),2710800000000.0,3713190000000.0,3644650000000.0,-2%,4058060000000.0,11%,2022
Fiscal Deficit (E-R),715580000000.0,666410000000.0,890820000000.0,34%,895980000000.0,1%,2022
Revenue Deficit,411420000000.0,102250000000.0,307240000000.0,200%,243530000000.0,-21%,2022
Primary Deficit,345880000000.0,236430000000.0,477950000000.0,102%,428350000000.0,-10%,2022
